GEXT	Malaclemys terrapin terrapin
GEXU	Malaclemys terrapin terrapin
GEXV	Malaclemys terrapin terrapin
GEXW	Malaclemys terrapin terrapin
GEXX	Achipteria coleoptrata
GEXY	Megaloprepus caerulatus
GEXZ	Malaclemys terrapin terrapin
GEYA	Salix integra
GEYB	Hermannia gibba
GEYC	Corydoras nattereri
GEYD	Corydoras nattereri
GEYE	Corydoras nattereri
GEYF	Hoplosternum littorale
GEYG	Hoplosternum littorale
GEYH	Cucurbita pepo
GEYI	Actinidia deliciosa
GEYJ	Nothrus palustris
GEYK	Corydoras nattereri
GEYL	Hoplosternum littorale
GEYM	Corydoras schwartzi
GEYN	Plutella xylostella
GEYO	Haliotis midae
GEYP	Hypochthonius rufulus
GEYQ	Steganacarus magnus
GEYR	Haliotis midae
GEYS	Bactrocera dorsalis
GEYT	Silene ammophila
GEYU	Silene conoidea
GEYV	Silene grisebachii
GEYW	Silene subconica
GEYX	Silene undulata
GEYY	Duabanga grandiflora
GEYZ	Platynothrus peltifer
GEZA	Silene sartorii
GEZB	Locusta migratoria
GEZC	Pisum sativum
GEZD	Globodera ellingtonae
GEZE	Trapa bispinosa
GEZF	Sonneratia caseolaris
GEZG	Citrus sp. JT-2016
GEZH	Leucoraja ocellata
GEZI	Cordyceps militaris
GEZJ	Agarophyton chilense
GEZK	Bemisia tabaci
GEZL	Ambrosia artemisiifolia
GEZM	Photinus pyralis
GEZN	Paulinella chromatophora
GEZO	Spodoptera litura
GEZP	Schistosoma japonicum
GEZQ	Cosmos bipinnatus
GEZR	Boletopsis grisea
GEZS	insect gut metagenome
GEZT	Solanum prinophyllum
GEZU	Amoeba sp. BB2
GEZV	Dendrobium catenatum
GEZW	endophyte metagenome
GEZX	Hirondellea gigas
GEZY	Sitophilus oryzae
GEZZ	Diadromus collaris
GFAA	Amblyomma sculptum
GFAB	Spodoptera frugiperda
GFAC	Amblyomma aureolatum
GFAD	Nepenthes ventricosa x Nepenthes alata
GFAE	Nepenthes ampullaria
GFAF	Cotesia vestalis
GFAG	Eurhomalea rufa
GFAH	Hadrurus spadix
GFAI	Octopus maya
GFAJ	Allium ascalonicum
GFAK	Allium cepa var. aggregatum
GFAL	Allium chinense
GFAM	Allium fistulosum
GFAN	Allium tuberosum
GFAO	Allium macrostemon
GFAP	Allium sativum
GFAQ	Fukomys darlingi
GFAR	Allium ampeloprasum
GFAS	Millepora alcicornis
GFAT	Mnemiopsis leidyi
GFAU	Oryza sativa Indica Group
GFAV	Haliclona tubifera
GFAW	Absidia caerulea
GFAX	Carausius morosus
GFAY	Citrus limon
GFAZ	Galaxea fascicularis
GFBA	Tupiocoris notatus
GFBB	Lomandra longifolia
GFBC	Mucor irregularis
GFBD	Camponotus fellah
GFBE	Ansanella granifera
GFBF	Ulmus pumila
GFBG	Megacormus gertschi
GFBH	Eogystia hippophaecolus
GFBI	Tegula atra
GFBJ	Amblyomma americanum
GFBK	Eriocheir sinensis
GFBL	Eriocheir sinensis
GFBM	Ambystoma mexicanum
GFBN	Paulownia elongata
GFBO	Pinus albicaulis
GFBP	Juncus effusus
GFBQ	Dreissena polymorpha
GFBR	Lens culinaris
GFBS	Lithobates catesbeianus
GFBT	Nymphoides peltata
GFBU	Rafflesia cantleyi
GFBV	Tetronarce californica
GFBW	Hemideina thoracica
GFBX	Hemideina crassidens
GFBY	Crotalaria juncea
GFBZ	Picea glauca
GFCA	Penaeus monodon
GFCB	Nicotiana tabacum
GFCC	Salpa thompsoni
GFCD	Superstitionia donensis
GFCE	Iotanema spirale
GFCF	Trypanoplasma borreli
GFCG	Silene dioica
GFCH	Silene dioica
GFCI	Pleuromamma xiphias
GFCJ	Loxostege sticticalis
GFCK	Alosa pseudoharengus
GFCL	Anguilla japonica
GFCM	Anguilla japonica
GFCN	Sminthopsis crassicaudata
GFCO	Murraya koenigii
GFCP	Ampulex compressa
GFCQ	Periplaneta americana
GFCS	Euphausia superba
GFCT	Mythimna separata
GFCU	Rhododendron delavayi
GFCV	Gammarus chevreuxi
GFCW	Peromyscus californicus
GFCX	Antheraea pernyi
GFCY	Bombyx mori
GFCZ	Latrodectus geometricus
GFDA	Homarus americanus
GFDB	Latrodectus hesperus
GFDC	Steatoda grossa
GFDD	Elaeis guineensis
GFDE	Hypericum perforatum
GFDF	Nyssomyia neivai
GFDG	Haematobia irritans
GFDH	soil metagenome
GFDI	Chamaecyparis hodginsii
GFDJ	Corchorus olitorius
GFDK	Ananas comosus
GFDL	Culex tarsalis
GFDM	Paragymnodinium shiwhaense
GFDN	Phytophthora palmivora
GFDO	Corchorus olitorius
GFDP	Labrus bergylta
GFDQ	Sturnus vulgaris
GFDR	Symbiodinium muscatinei
GFDT	Elliptochloris marina
GFDU	Lateolabrax maculatus
GFDV	Nepenthes khasiana
GFDW	Aetalion reticulatum
GFDX	Agudus sp. AgspCi3
GFDY	Amastris sp. AmspME1B
GFDZ	Aphrodes bicincta
GFEA	Bladina sp. BlspNO2
GFEB	Chelyoidea sp. ChspME22
GFEC	Cyphonia clavata
GFEF	Yucanda albida
GFEH	Hackeriella veitchi
GFEI	Tituria crinita
GFEJ	Tettigometra bipunctata
GFEO	Tolania sp. TospME4
GFEQ	Lophyraspis sp. LospAE
GFER	Lycoderes burmeisteri
GFES	Lycorma delicatula
GFET	Membracis tectigera
GFEY	Ricania speculum
GFFB	Notocera sp. NospME1B
GFFC	Penestragania robusta
GFFD	Procyrta sp. PrspME4
GFFF	Penthimia sp. PespCi34
GFFH	Oratosquilla oratoria
GFFI	Triticum aestivum
GFFJ	Portunus trituberculatus
GFFK	Microphallus sp. 'livelyi'
GFFL	Microphallus sp. 2 LB-2017
GFFM	Labrus bergylta
GFFN	Phlox cuspidata
GFFO	Phlox pilosa
GFFP	Phlox drummondii
GFFQ	Phlox roemeriana
GFFR	Phlox drummondii
GFFU	Triticum turgidum subsp. durum
GFFV	Castor canadensis
GFFW	Castor canadensis
GFFX	Juniperus excelsa
GFFY	Pseudotsuga menziesii
GFFZ	Machimus arthriticus
GFGA	Eutolmus rufibarbis
GFGB	Dasypogon diadema
GFGC	Capra hircus
GFGD	Capra hircus
GFGE	Capra hircus
GFGF	Capra hircus
GFGG	Capra hircus
GFGH	Capra hircus
GFGI	Hyalomma dromedarii
GFGJ	Marchantia paleacea
GFGK	Brachionus manjavacas
GFGL	Tectona grandis
GFGM	Osteoglossum bicirrhosum
GFGN	Avena fatua
GFGO	Capra hircus
GFGP	Capra hircus
GFGQ	Capra hircus
GFGR	Capra hircus
GFGS	Oryza sativa Indica Group
GFGT	Millepora complanata
GFGU	Millepora squarrosa
GFGV	Millepora sp. RR-2016
GFGW	Hypsibius dujardini
GFGX	Coregonus clupeaformis
GFGY	Paramacrobiotus richtersi
GFGZ	Milnesium tardigradum
GFHA	Melanotaenia splendida tatei
GFHB	Pinus massoniana
GFHC	Cyathus bulleri
GFHD	Margaritifera margaritifera
GFHE	Gyrodiniellum shiwhaense
GFHF	Poecilia reticulata
GFHG	Poecilia reticulata
GFHH	Poecilia reticulata
GFHI	Poecilia reticulata
GFHJ	Saccharum hybrid cultivar
GFHK	Syzygium luehmannii
GFHL	Syzygium luehmannii
GFHM	Syzygium luehmannii
GFHN	Syzygium luehmannii
GFHO	Syzygium luehmannii
GFHP	Yucca gloriosa
GFHQ	Cordyline australis
GFHR	Penicillium raistrickii
GFHS	Syzygium luehmannii
GFHT	Syzygium luehmannii
GFHU	Avena sativa
GFHV	Ilex paraguariensis
GFHW	Crotalus adamanteus
GFHX	Dactylorhiza fuchsii
GFHY	Cornu aspersum
GFHZ	Saccharum hybrid cultivar
GFIA	Juniperus excelsa
GFIB	Mytilus californianus
GFIC	Anguilla anguilla
GFID	Apteronotus albifrons
GFIE	Astyanax mexicanus
GFIF	Astyanax mexicanus
GFIG	Coregonus lavaretus
GFIH	Mytilus californianus
GFII	Mytilus californianus
GFIJ	Gossypium hirsutum
GFIK	Gnathonemus petersii
GFIL	Danio rerio
GFIM	Lepisosteus oculatus
GFIN	Oncorhynchus mykiss
GFIO	Oryzias latipes
GFIP	Pantodon buchholzi
GFIQ	Perca fluviatilis
GFIR	Plecoglossus altivelis
GFIS	Salmo trutta
GFIT	Salvelinus fontinalis
GFIU	Umbra pygmaea
GFIV	Crypthecodinium cohnii
GFIW	Agrostis scabra
GFIX	Gadus morhua
GFIY	Piper nigrum
GFIZ	Thymallus thymallus
GFJA	Brachypodium distachyon
GFJB	Brachypodium distachyon
GFJC	Brachypodium distachyon
GFJD	Aldrovandia affinis
GFJE	Taraxacum kok-saghyz
GFJG	Eurypanopeus depressus
GFJH	Agrostis stolonifera
GFJI	Echinochloa colona
GFJJ	Hordeum vulgare subsp. vulgare
GFJK	Hordeum vulgare subsp. vulgare
GFJL	Hordeum vulgare subsp. vulgare
GFJM	Bothrops jararaca
GFJN	Hordeum vulgare subsp. vulgare
GFJO	Hordeum vulgare subsp. vulgare
GFJP	Sporobolus stapfianus
GFJQ	Ornithodoros moubata
GFJR	Saccharomyces cerevisiae
GFJS	Saccharomyces cerevisiae
GFJT	Posidonia oceanica
GFJU	Tomicus yunnanensis
GFJV	Dactylorhiza incarnata
GFJW	Dicentrarchus labrax
GFJX	Dicentrarchus labrax
GFJY	Dugesia japonica
GFJZ	Macrostomum tuba
GFKA	Schmidtea polychroa
GFKB	Bdelloura candida
GFKC	Ishige okamurae
GFKD	Punctaria latifolia
GFKE	Sargassum henslowianum
GFKF	Desmarestia viridis
GFKG	Sargassum vachellianum
GFKH	Scytosiphon lomentaria
GFKI	Sargassum muticum
